 	Label	ID	TRACK_ID	QUALITY	POSITION_X	POSITION_Y	POSITION_Z	POSITION_T	FRAME	RADIUS	VISIBILITY	MANUAL_COLOR	MEAN_INTENSITY	MEDIAN_INTENSITY	MIN_INTENSITY	MAX_INTENSITY	TOTAL_INTENSITY	STANDARD_DEVIATION	ESTIMATED_DIAMETER	CONTRAST	SNR
1	ID1253	1253	0	73.300	495.167	244.567	0	0	0	2.500	1	-10921639	183.892	80	25	1002	6804	240.513	2.000	0.517	0.521
2	ID1256	1256	0	79.078	495.069	235.075	0	1	1	2.500	1	-10921639	194.432	94	27	1137	7194	237.289	2.000	0.545	0.578
3	ID1254	1254	0	75.342	495.027	225.496	0	2	2	2.500	1	-10921639	199.568	99	34	1053	7384	243.457	2.000	0.500	0.547
4	ID1259	1259	0	98.964	494.921	215.982	0	3	3	2.500	1	-10921639	250.946	133	51	1428	9285	294.001	2.000	0.509	0.576
5	ID1260	1260	0	95.430	494.796	206.448	0	4	4	2.500	1	-10921639	247.162	122	42	1326	9145	307.508	2.000	0.516	0.547
6	ID1267	1267	0	99.742	494.721	196.871	0	5	5	2.500	1	-10921639	260.378	131	48	1361	9634	306.328	2.000	0.509	0.574
7	ID1264	1264	0	98.159	494.711	187.295	0	6	6	2.500	1	-10921639	260.297	148	51	1408	9631	309.890	2.000	0.501	0.561
8	ID1263	1263	0	94.652	494.561	177.802	0	7	7	2.500	1	-10921639	260.486	131	61	1231	9638	299.454	2.000	0.469	0.555
9	ID1268	1268	0	103.472	494.496	168.295	0	8	8	2.500	1	-10921639	285.486	146	43	1313	10563	334.047	2.000	0.484	0.557
10	ID1271	1271	0	108.219	494.380	158.704	0	9	9	2.500	1	-10921639	296.108	163	54	1461	10956	338.965	2.000	0.475	0.563
11	ID1273	1273	0	89.818	494.292	149.105	0	10	10	2.500	1	-10921639	238.297	137	35	1250	8817	272.228	2.000	0.499	0.582
12	ID1275	1275	0	81.297	494.302	139.590	0	11	11	2.500	1	-10921639	226.811	121	32	1116	8392	254.570	2.000	0.462	0.563
13	ID1277	1277	0	81.054	494.152	130.041	0	12	12	2.500	1	-10921639	220.486	109	50	1162	8158	238.771	2.000	0.441	0.566
14	ID1278	1278	0	72.957	494.112	120.488	0	13	13	2.500	1	-10921639	209.568	115	39	969	7754	226.320	2.000	0.456	0.580
15	ID1281	1281	0	92.591	493.995	110.919	0	14	14	2.500	1	-10921639	243.459	118	55	1302	9008	270.560	2.000	0.479	0.583
16	ID1282	1282	0	98.308	493.914	101.445	0	15	15	2.500	1	-10921639	273.838	154	37	1287	10132	303.987	2.000	0.478	0.583
17	ID1285	1285	0	90.135	493.875	91.881	0	16	16	2.500	1	-10921639	234.811	129	51	1265	8688	265.942	2.000	0.491	0.582
18	ID1286	1286	0	101.919	493.715	82.328	0	17	17	2.500	1	-10921639	295.676	161	76	1314	10940	308.095	2.000	0.457	0.602
19	ID1289	1289	0	90.893	493.723	72.824	0	18	18	2.500	1	-10921639	254.162	147	46	1189	9404	265.636	2.000	0.482	0.623
20	ID1291	1291	0	88.105	493.657	63.223	0	19	19	2.500	1	-10921639	250.324	153	52	1177	9262	266.138	2.000	0.467	0.599
21	ID1293	1293	0	81.758	493.536	53.716	0	20	20	2.500	1	-10921639	231.324	119	49	1044	8559	255.707	2.000	0.463	0.572
22	ID1295	1295	0	97.517	493.432	44.135	0	21	21	2.500	1	-10921639	269.973	135	49	1251	9989	301.435	2.000	0.483	0.584
23	ID1297	1297	0	78.068	493.380	34.581	0	22	22	2.500	1	-10921639	227.892	127	44	974	8432	245.976	2.000	0.447	0.573
24	ID1299	1299	0	74.777	493.220	25.024	0	23	23	2.500	1	-10921639	209.838	130	38	1050	7764	218.692	2.000	0.452	0.597
25	ID1300	1300	0	71.375	493.224	15.503	0	24	24	2.500	1	-10921639	206.649	119	29	868	7646	219.185	2.000	0.459	0.593
26	ID1303	1303	0	74.982	493.075	5.970	0	25	25	2.500	1	-10921639	204.351	116	34	1053	7561	218.473	2.000	0.475	0.603
27	ID1252	1252	1	90.641	239.405	245.038	0	0	0	2.500	1	-10921639	223.757	114	15	1221	8279	278.236	2.000	0.539	0.564
28	ID1257	1257	1	71.472	239.354	235.534	0	1	1	2.500	1	-10921639	186.000	84	9	861	6882	225.621	2.000	0.565	0.595
29	ID1255	1255	1	79.227	239.190	225.969	0	2	2	2.500	1	-10921639	185.703	81	11	1082	6871	236.522	2.000	0.594	0.585
30	ID1258	1258	1	110.974	239.141	216.383	0	3	3	2.500	1	-10921639	271.324	124	21	1403	10039	337.708	2.000	0.590	0.596
31	ID1261	1261	1	119.550	239.050	206.859	0	4	4	2.500	1	-10921639	282.432	141	25	1536	10450	348.364	2.000	0.581	0.596
32	ID1266	1266	1	139.232	238.948	197.186	0	5	5	2.500	1	-10921639	331.730	169	42	1735	12274	407.366	2.000	0.582	0.599
33	ID1265	1265	1	94.711	238.896	187.724	0	6	6	2.500	1	-10921639	225.649	106	27	1207	8349	284.502	2.000	0.602	0.596
34	ID1262	1262	1	92.841	238.797	178.126	0	7	7	2.500	1	-10921639	229.324	119	31	1126	8485	271.161	2.000	0.561	0.608
35	ID1269	1269	1	87.770	238.687	168.595	0	8	8	2.500	1	-10921639	218.351	92	28	1047	8079	276.501	2.000	0.593	0.588
36	ID1270	1270	1	126.392	238.620	159.028	0	9	9	2.500	1	-10921639	313.838	156	42	1524	11612	379.395	2.000	0.585	0.611
37	ID1272	1272	1	128.328	238.484	149.405	0	10	10	2.500	1	-10921639	331.108	151	33	1491	12251	414.829	2.000	0.559	0.572
38	ID1274	1274	1	123.350	238.454	139.847	0	11	11	2.500	1	-10921639	296.162	144	22	1569	10958	387.537	2.000	0.574	0.557
39	ID1276	1276	1	97.546	238.353	130.271	0	12	12	2.500	1	-10921639	242.297	105	23	1203	8965	298.822	2.000	0.566	0.586
40	ID1279	1279	1	87.966	238.207	120.799	0	13	13	2.500	1	-10921639	211.243	97	25	1276	7816	268.694	2.000	0.544	0.554
41	ID1280	1280	1	108.135	238.147	111.134	0	14	14	2.500	1	-10921639	264.000	122	30	1403	9768	315.057	2.000	0.568	0.607
42	ID1283	1283	1	133.927	238.087	101.649	0	15	15	2.500	1	-10921639	324.811	138	33	1701	12018	404.186	2.000	0.560	0.577
43	ID1284	1284	1	152.974	238.023	92.037	0	16	16	2.500	1	-10921639	368.297	175	34	1944	13627	440.874	2.000	0.560	0.600
44	ID1287	1287	1	116.005	237.958	82.507	0	17	17	2.500	1	-10921639	295.324	143	10	1460	10927	357.986	2.000	0.555	0.589
45	ID1288	1288	1	129.480	237.890	72.952	0	18	18	2.500	1	-10921639	311.568	143	34	1642	11528	374.685	2.000	0.586	0.614
